comment_id,product_id,guid,content,create_time,reference_id,reference_time,score,nickname,user_level,is_mobile,user_client
11081164297,12403048,5f942b33-5c8e-4f59-bb6b-0728aae35ca4,"到后发现质量很烂，胶都没打好，而且还在运输过程中起皱了，然后气冲冲的退货了，客服小姐姐很好，很爽快的帮我申请了。然后接下来退货也很快吧，花了三天，反正京东的客服还有售后还是很不错的，这也是为什么选择京东的原
因。现在呢，拿到了我的圣经，另加一本算法导论，希望自己能够把他们搞懂，非常开心。另外换货的这个书，质量还是不错的，颜色没有那么亮白，对眼镜号，纸张质量也不错。",2017-12-17 17:46:49,12128543,2017-12-13 13:13:18,5,l***a,PLUS会员,True,来自京东Android客户端
10901000729,12403048,0025112d-8372-4652-bf86-22bcfffef914,深度学习必备的入门书，深度学习的几位大牛联合，出品，值得购买，纸张质量还不错的书有点重，希望能看得下去。第一部分是应用数学与机器学习基础，介绍了线性代数，感觉你信息咯，数值计算，机器学习基础，方面的一些知识，包括拟合偏差，最大，似然估计，有无监督学习算法以及梯度下降，第二部分，书的主要内容，介绍深度网络，包括深度情况咯，深度模型中的正则化和优化，卷积网络还有，循环和递归网络第三部分是深入学习研究，包括，自编码器线性因子模型，表示学习蒙特卡洛方法，等等，比较深入，还有深度生成模型,2017-10-28 18:02:35,12128543,2017-09-14 10:25:23,5,M***y,钻石会员,True,来自京东iPhone客户端
11313344478,12403048,ee1200f0-d043-4715-819d-4eae694953e3,讲真，翻译得真的很渣，后悔买了。不值这个价，一本经典被翻译成这个样子，实在浪费。翻译者是冲着人工智能来捞一笔钱的吧。我很怀疑张志华老是究竟有没有审校过。,2018-03-15 21:55:39,12128543,2018-03-06 14:05:53,5,K***e,钻石会员,True,来自京东Android客户端
12206815476,12403048,59e5496b-92f5-42fc-94e9-6c35f67aea6c,新书刚到，不能浪费，要好好学习知识,2018-12-01 10:18:35,12403048,2018-11-30 16:18:52,5,杨***生,PLUS会员,True,来自京东Android客户端
11737770593,12403048,0fd96915-cb56-48b8-8503-63831351d608,经常网购，总有大量包裹收，感觉写评语花掉了大量的时间和精力，所以在一段时间里，我总是不去评价，或者是随便写，但是我又总觉得好像对不住那些辛勤工作仓管，客服，老板，于是我写下这一小段话给我觉得的卖家，能拿到到五星好评卖家的宝贝评价，以示感谢。首先宝贝性价比我先试用再评价的。虽然宝贝不一定是最好的，但在价很高，京东的配送绝对是一流的，送货速位里面绝对是表现最棒的，度快，服务态度好，每样东西都送货上门，希望京东能再接再厉，做得更大更强，提供更好更多的东西给大家，为京东的商品和服务点赞。,2018-07-24 18:32:27,12128543,2018-05-29 13:43:46,5,冯***宾,PLUS会员,True,来自京东Android客户端
11939669356,12403048,7f4c96da-bf26-401e-89da-b3ed58219c7f,"非常感谢京东商城给予的优质的服务，从仓储管理、物流配送等各方面都是做的非常好的。送货及时，配送员也非常的热情，有时候不方便收件的时候，也安排时间另行配送。同时京东商城在售后管理上也非常好的，以解客户忧患，排除万难。给予我们非常好的购物体验。 Thank you very much for the excellent service provided by Jingdong mall, and it is very good to do in warehouse management, logistics, distribution and so on. Delivery in a timely manner, distribution staff is also very enthusiastic, and sometimes inconvenient to receive the time, but also arranged for time to be delivered. At the same time in the mall management Jingdong customer service is also very good, to solve customer suffering, overcome all difficulties. Give us a very good shopping experience.",2018-09-23 15:17:27,12403048,2018-08-09 19:50:43,5,j***8,PLUS会员,False,
10651033684,12403048,8554d7d5-d66e-4f6c-a7a8-3ecc7dd7d7fc,作为第一批收到此书的用户，发几张图片吧?本书第二部分内容是重点，就多发下目录part ii的部分。总体还是不错的，但肯定还是有改进空间滴。另，本书是领到200-80券下的单哈，各位加油＾０＾~,2017-07-27 12:13:57,12128543,2017-07-16 10:36:14,5,b***g,钻石会员,True,来自京东Android客户端
11818401034,12403048,9a9ae963-62ca-4be2-82e5-dbf4cbb3e4b5,儿子要的，比较难！儿子说不错！,2018-08-18 15:09:49,12403048,2018-08-01 19:18:40,5,f***3,金牌会员,True,来自京东Android客户端
12150473835,12403048,fd2e94e9-631a-498d-a90e-2732a22bc7db,"还没开始看，包装但是没问题，看过后再来评价！
书本身是本好书，刚出不久，好评不断！适合初学者入门与进阶！！",2018-11-17 18:59:27,12403048,2018-10-23 16:53:51,5,s***7,银牌会员,True,来自京东Android客户端
12075802478,12403048,303d5a7b-ed14-4909-a436-803a931d1489,书籍印刷质量很好，彩印版色彩鲜明，纸张摸起来很舒服,2018-11-03 11:19:49,12409581,2018-10-24 17:01:46,5,j***s,PLUS会员,True,来自京东Android客户端
